year,lake,season,outlierpres,n,fitmin,fitmax,slope,slp_se,slp_l95ci,slp_u95ci,intcpt,int_se,int_l95ci,int_u95CI,height,height.overall
2018,Storm,summer,N,15,-29.415037499278842,-5.415037499278844,-0.4990901622777276,0.11567888734368445,-0.7489992047095139,-0.2491811198459414,3.7162412015035815,2.135507178054485,-0.8972415716166338,8.329723974623796,12.407915093091372,11.45213871680836
2018,Storm,spring,N,13,-29.415037499278842,-17.415037499278842,-0.07334085215874409,0.15376184144766541,-0.41176838337341914,0.265086679055931,14.692142186793074,3.646017116030364,6.667312620970128,22.71697175261602,16.409420990319134,15.828925395253608
2018,South.Twin,summer,Y,14,-28.415037499278842,-9.415037499278844,-0.7065080487891015,0.11056577255862671,-0.9474101725619062,-0.4656059250162968,-0.012454749476486388,2.211621733752712,-4.831164557347775,4.806255058394803,13.704425511306244,10.938420006754587
2018,South.Twin,spring,N,8,-29.415037499278842,-17.415037499278842,-0.23722704825831462,0.13469476921441742,-0.5668132753363091,0.0923591788196799,12.330193282769724,2.958111034489763,5.091956335474019,19.568430230065427,17.88487351358139,16.0072125307736
2019,Blue,summer,N,14,-29.415037499278842,-4.415037499278844,-0.7589603372067002,0.11608619348489718,-1.0118904249188265,-0.506030249494574,-1.3046740121295606,2.1059553853279716,-5.893156624388937,3.2838086001298157,11.533168552187089,10.459211214574292
2019,Blue,spring,N,4,-28.415037499278842,-19.41503749927884,-0.01549504667297496,0.03196479000772211,-0.1530284376555688,0.12203834430961888,16.181014332037872,0.7330268797922586,13.027054226719981,19.334974437355765,16.551578954275143,16.421187555468983
2019,Center,summer,N,13,-29.415037499278842,-6.415037499278844,-0.5809992150354257,0.13485433261723606,-0.8778115999000242,-0.2841868301708273,1.13400072904954,2.6699709482071263,-4.742565705830146,7.010567163929227,11.542623453460763,10.139488562098638
2019,Center,spring,N,8,-27.415037499278846,-16.415037499278842,0.2156749588529721,0.0977782332827943,-0.02357975895071468,0.4549296766566589,20.167280481910524,2.1138538550250052,14.994866432461361,25.339694531359687,15.440755670992218,16.824318619689457
2019,Five.Island,summer,N,10,-29.415037499278842,-6.415037499278844,-0.5167125121733447,0.12940869021459264,-0.8151294869395502,-0.21829553740713914,4.0077574214139515,2.7952689157039243,-2.4381442572069636,10.453659100034866,13.264681453345997,12.016801360100793
2019,Five.Island,spring,N,5,-29.415037499278842,-17.415037499278842,-0.30995579145278346,0.05847141875824634,-0.496037942044661,-0.12387364086090591,10.001608805841398,1.3349345122450993,5.7532513995512735,14.249966212131522,17.259235285826975,14.805923573359543
2019,North.Twin,summer,N,12,-29.415037499278842,-6.415037499278844,-0.5457776943790557,0.11441247658116217,-0.8007045786015128,-0.29085081015659847,2.597044924202495,2.281016557054809,-2.485376688595292,7.679466537000282,12.374672785273225,11.056599187077857
2020,North.Twin,spring,N,8,-29.415037499278842,-17.415037499278842,-0.15207483747197534,0.08747503471085791,-0.36611853658529103,0.061968861641340384,14.234285307826209,2.0343333386355034,9.256450952339684,19.212119663312734,17.795123329929247,16.591445288641825
2020,Silver,summer,N,15,-28.415037499278842,-5.415037499278844,-0.7243641628345258,0.08130619998951798,-0.9000155288679758,-0.5487127968010758,-1.0612794395646556,1.5779204530029833,-4.470169328623871,2.3476104494945593,11.191367537915072,10.166365084370494
2020,Silver,spring,N,8,-27.415037499278846,-15.415037499278844,0.037961090676128,0.13429678225384917,-0.29065129739145085,0.3665734787437069,13.903064567923408,2.8074212027020393,7.033552355876127,20.77257677997069,13.090126387580602,13.314667662443425
2020,Storm,summer,Y,11,-29.415037499278842,-7.415037499278844,-0.5945777471459535,0.07319725640607064,-0.7601614450221229,-0.428994049269784,0.13419257497409326,1.4804166645481585,-3.2147425866593506,3.4831277366075373,9.894208590611653,9.350147655736372
2020,Storm,spring,N,10,-29.415037499278842,-15.415037499278844,-0.055498831001629216,0.06430226800979517,-0.20378012693522346,0.09278246493196501,12.164608079389131,1.3952818970023375,8.947082255126228,15.382133903652035,13.40861645745679,13.024839959914384
2020,South.Twin,summer,N,8,-22.415037499278842,-9.415037499278844,-0.9511473895321851,0.1874337928525403,-1.4097813585681171,-0.49251342049625313,-5.335000756344139,3.2324096064268035,-13.244422130064729,2.5744206173764503,9.802545615401769,9.407783781404731
2020,South.Twin,spring,N,11,-29.415037499278842,-17.415037499278842,-0.02127458750498239,0.09892326734899609,-0.24505456530591574,0.20250539029595094,15.679663510330318,2.3014287367420003,10.473470008839776,20.88585701182086,16.17780877454117,16.009419616657546
